"case_id","variant","replicate","terminal_state","locus","name","ai_position","differentiation_unit","claimed_visibility","claimed_intensity","touchpoint","mechanism","evidence_ids","gate_rationale","run_dir"
"case_004","full","0","PASS","NON_BACKSTAGE","Material Memory Index","BACKSTAGE","SEGMENT","LOW","LOW","Internal product and design teams, during periodic brief development and property refresh cycles, accessed through a closed internal research interface with no guest-facing surface","The AI ingests anonymised, aggregated signals drawn from operational records — maintenance logs, procurement patterns, seasonal service request data, and post-stay staff debrief notes — to identify recurring friction points and latent material preferences across the portfolio. It then generates ranked hypotheses about which design or product decisions are quietly eroding the sense of place at specific properties: a textile weight that reads as insufficient in colder climates, a scent profile that conflicts with local flora, a furniture arrangement that subtly misaligns with how guests actually move through a suite. These hypotheses are delivered as structured research prompts to the internal design and procurement team, not as directives. The team treats the output as one research input among several — alongside craft sourcing trips, artisan consultations, and property general manager judgement — and decides independently whether to act. No output is labelled as AI-generated in any internal communication that crosses into property operations. The system never touches guest data in identifiable form and never produces guest-facing content.","D1;D2;D5","The problem described is fundamentally about how Aman relates to individual guests at scale—maintaining the depth, relevance, and consistency of highly personal service experiences across a growing portfolio of properties. This is a classic personalisation challenge: ensuring that each guest's preferences, history, and expectations are understood and acted upon seamlessly, while preserving the brand's hallmark of authentic, human-mediated intimacy. The tension between scaling individualised service and protecting privacy and perceived human authenticity is precisely the kind of nuanced personalisation design problem the system is built to address. The brief does not describe an operational or authentication issue; it describes the challenge of deepening and sustaining one-to-one client relationships across a larger footprint, which personalisation is well-positioned to solve.","runs\2026-08-21T12-06-35__960461"
"case_004","full","1","PASS","NON_BACKSTAGE","Material Memory Archive","BACKSTAGE","SEGMENT","LOW","LOW","Internal design and procurement teams, during the pre-development phase of new property builds and renovation cycles, accessed through a closed internal research interface","The AI ingests longitudinal data from completed properties—guest feedback coded at the aggregate level, maintenance records, material performance logs, supplier provenance documentation, and regional craft traditions—to surface pattern-based recommendations for material selection, spatial proportion, and artisan partnerships in new developments. It identifies which combinations of natural materials, construction methods, and spatial configurations have produced the most durable guest satisfaction signals across climatic and cultural contexts, and flags underutilised regional craft traditions that align with the physical and ecological character of a prospective site. All outputs are delivered as structured research briefs to senior design leads, who exercise full editorial discretion over what proceeds to concept stage. The system does not generate design concepts; it compresses the research burden on human designers and surfaces material or craft options they might not have encountered within their existing networks.","D1;D2;D5","The problem described is fundamentally a personalisation challenge: how to deepen and scale the quality of individual guest relationships across a growing portfolio while preserving the brand's ethos of privacy and human connection. The core tension—maintaining bespoke, per-guest service relevance as the property count grows—is precisely the kind of issue that personalisation strategy addresses. It is not an operational or authentication problem; it concerns how the brand relates to each client, the consistency and depth of that relationship across touchpoints and properties, and the retention of ultra-high-net-worth guests who expect their preferences to be understood without being made to feel surveilled. The dimensional profile further confirms suitability: the strict scenic invisibility requirement, emotional consumption orientation, and inconspicuous motivation profile all point to a nuanced personalisation design challenge rather than a generic technology deployment.","runs\2026-08-21T12-38-30__28185d"
"case_004","full","2","PASS","NON_BACKSTAGE","Latent Preference Archive","BACKSTAGE","COHORT","LOW","LOW","Internal design and product development teams, during pre-season property programming cycles, through a restricted internal research interface","The AI ingests anonymised, aggregated signals drawn from historical stay patterns, staff-logged preference notes, post-departure service debrief records, and maintenance logs across the property portfolio. It identifies recurring latent preferences — spatial configurations, material textures, ambient conditions, pace-of-service rhythms — that guests have never explicitly articulated but that correlate with high-satisfaction outcomes. These patterns are surfaced as thematic design briefs delivered to interior, culinary, and programming teams ahead of refurbishment cycles or new property openings. No individual guest is profiled or identified. The output is a set of design principles and material specifications that make future properties more quietly attuned to the sensory preferences of the guest population at a cohort level. Human design leads retain full authority to accept, adapt, or discard any recommendation, and the AI output is framed as research input rather than instruction.","D2;D5;D4;D1","The problem described is fundamentally a personalisation challenge: how to scale deeply individualised guest experiences across a growing portfolio while preserving the brand's ethos of privacy, human authenticity, and discretion. The core tension—maintaining relationship depth and relevance of service at the individual guest level as the property count grows—is precisely the kind of client-relationship problem that personalisation is designed to address. The dimensional profile reinforces this: the brand serves emotionally motivated, inconspicuous-luxury consumers who value genuine human connection, and the proposed approach positions AI as an invisible enabler of staff-delivered personalisation rather than a guest-facing system. This is not an operational or authentication problem; it is about ensuring that each guest's experience feels uniquely attuned to them, which is the definition of personalisation done well.","runs\2026-08-21T12-39-09__56d424"
"case_004","minus_critic","0","PASS","NON_BACKSTAGE","Quiet Signal","BACKSTAGE","COHORT","LOW","LOW","Internal design and procurement teams, during the annual property refresh and new-site development cycle, accessed through a closed internal planning interface","The AI ingests anonymised, aggregated behavioural residue from across the portfolio — patterns in amenity use, service request timing, room configuration preferences, and post-stay qualitative notes stripped of any identifying detail — and synthesises these into material and spatial design briefs. Outputs take the form of ranked design hypotheses: which textures, scent profiles, lighting sequences, furniture proportions, or ritual objects resonate most durably with the guest archetype at a given property type. These hypotheses are handed to human designers and procurement leads as raw creative inputs, not prescriptions. The designers exercise full curatorial judgement over what enters the physical environment. No output reaches a guest-facing channel, no individual profile is constructed, and no real-time personalisation occurs. The system operates on a slow cycle — quarterly synthesis, annual application — deliberately misaligned with any single guest's stay.","D2;D5;D1;D4","The problem is fundamentally about how Aman relates to individual guests—scaling deeply personal, one-to-one service across a growing portfolio while preserving the brand's ethos of privacy and human authenticity. This is a classic personalisation challenge: ensuring that what is offered to each guest remains relevant, anticipatory, and emotionally resonant, without the experience feeling surveilled or algorithmic. Every dimension of the brief reinforces this: the emotional consumption orientation, the inconspicuous-luxury motivation profile, the strict scenic-invisibility requirement, and the strong symbolic orchestration control all point to a need for backstage personalisation that empowers human staff rather than replacing them. The difficulty is not operational (authentication, inventory, supply chain) but relational—maintaining relationship depth and experiential consistency at scale—making personalisation the appropriate lens through which to address it.","runs\2026-08-21T12-39-46__078d17"
"case_004","minus_critic","1","PASS","NON_BACKSTAGE","Silent Material Intelligence","BACKSTAGE","SEGMENT","LOW","LOW","Internal product and design teams during the development cycle for new property fit-outs, amenity curation, and spatial programming; the AI interfaces exclusively with these teams through internal design review workflows, never reaching any client-facing surface","The AI ingests anonymised, aggregated signals from prior property operational data — maintenance logs, amenity replenishment rates, seasonal occupancy patterns, staff observation notes converted to structured tags by property managers — and synthesises these into design guidance for development teams. It identifies which material choices, spatial configurations, and amenity compositions have correlated with longer dwell times, repeat visitation, and reduced friction without any individual-level profiling. Outputs are framed as design hypotheses presented to senior creative and operations leads in periodic review sessions. Human curators then decide which hypotheses to carry forward, adapt, or discard, applying brand and cultural judgement the model cannot hold. The model has no access to guest identity data, no connection to reservation systems, and no output channel that reaches property operations or client interaction. Its role ends when the design brief is finalised.","D2;D5;D1;D4","The problem is fundamentally about how Aman relates to individual guests at scale: maintaining the depth, relevance, and consistency of deeply personal service experiences across a growing portfolio of properties. This is a classic personalisation challenge—how to recognise returning guests' preferences, anticipate needs, and tailor offerings (room configurations, spa treatments, culinary itineraries) on a per-client basis, while preserving the brand's ethos of privacy and human authenticity. The tension the brief identifies—scaling high-touch individualisation without visible algorithmic mediation—is precisely a personalisation design problem, not an operational or supply-chain issue. The dimensional profile further confirms suitability: strict scenic invisibility requirements, emotional consumption values, and strong symbolic orchestration control all point to a context where personalisation must be carefully architected but is clearly the right lever to address the stated business difficulty.","runs\2026-08-21T12-40-22__756861"
"case_004","minus_critic","2","PASS","NON_BACKSTAGE","Silent Material Archive","BACKSTAGE","COHORT","LOW","LOW","Interior design and procurement teams, during the pre-opening development cycle of new urban properties, working through internal project management surfaces and supplier briefing documents","An AI system ingests anonymised residency pattern data, aggregated guest feedback stripped of any identifying information, and publicly available environmental and cultural datasets for each new city location. It then generates ranked material and spatial specification recommendations — finishes, textiles, lighting temperatures, furniture proportions, acoustic treatments — calibrated to the sensory and atmospheric expectations of guests who have previously stayed at comparable properties in the portfolio. These outputs are delivered as structured option sets to the internal design team, not as directives. The design team evaluates each recommendation against the property's site-specific narrative, discards anything that conflicts with local material authenticity or feels generic, and commissions or sources accordingly. The AI does not interact with guests, does not store individual profiles, and is never referenced in any client-facing communication. Its role ends when the design brief is finalised.","D2;D5;D1;D4","The problem is fundamentally about how Aman relates to individual guests—scaling deeply personal, high-touch service across a growing portfolio while preserving the perception of human intuition and privacy. This is a classic personalisation challenge: ensuring that what is offered to each guest (room configuration, spa treatments, culinary itineraries) is relevant, consistent across properties, and delivered in a way that deepens the relationship rather than feeling algorithmic. The constraints around scenic invisibility and privacy do not disqualify personalisation; they shape how it must be designed. The core difficulty—maintaining relationship depth and experiential relevance at scale—is squarely within the domain of personalisation strategy.","runs\2026-08-21T12-41-00__ef1f64"
"case_004","minus_loop","0","PASS","NON_BACKSTAGE","Material Provenance Intelligence","BACKSTAGE","SEGMENT","LOW","LOW","Internal product and design teams during the sourcing and specification phase of new property development or amenity procurement; the AI interfaces exclusively with procurement leads, interior directors, and regional design heads through a closed internal dashboard, never touching any guest-facing surface","The AI ingests structured data from supplier networks, environmental surveys, craft guild registries, and conservation body reports to surface candidate materials, artisan partnerships, and spatial configurations that satisfy the brand's objective scarcity criteria — physical remoteness, protected provenance, non-replicable craft lineage. It cross-references each candidate against a proprietary taxonomy of the brand's existing portfolio to flag redundancy or dilution risk, and generates ranked option sets with sourcing rationale, sustainability compliance notes, and exclusivity tenure estimates. All outputs are delivered as advisory dossiers to human design leads, who exercise full curatorial authority over what advances. The AI does not communicate with guests, does not personalise to individual guest profiles, and has no runtime role during property operation.","D1;D2;D5","The problem is fundamentally about how Aman relates to individual guests at scale: maintaining the depth, relevance, and consistency of a deeply personal service experience as the portfolio grows beyond the point where staff memory and informal knowledge transfer alone can sustain it. The challenge is not operational (supply chain, authentication, inventory) but relational—how to recognise returning guests' preferences, anticipate needs across properties, and deliver a seamless sense of being known without ever surfacing the data infrastructure behind it. The dimensional profile reinforces that this is a genuine personalisation problem: the strict scenic-invisibility requirement, the emotional and inconspicuous-luxury orientation, and the strong symbolic-orchestration control all point to a use case where AI must power human-delivered personalisation backstage, making the solution both appropriate and non-trivial to design well.","runs\2026-08-21T12-41-35__c8befc"
"case_004","minus_loop","1","PASS","NON_BACKSTAGE","Quiet Signal","BACKSTAGE","COHORT","LOW","LOW","Internal design and procurement teams during the property development and seasonal product refresh cycle, accessed through internal briefing documents and workshop inputs — no guest-facing surface involved","The AI ingests anonymised, aggregated operational data — occupancy patterns, amenity usage rates, service request logs, post-stay feedback stripped of all identifying information — and synthesises it into latent preference signals at the cohort level. These signals are translated into written design intelligence briefs that surface recurring but unarticulated guest behaviours: for example, consistent underuse of certain room typologies, or repeated informal requests that cluster around a sensory theme. The briefs are delivered to senior design directors and procurement leads as periodic inputs to property development decisions, material selection, spatial programming, and amenity curation. The AI does not recommend specific products, does not generate guest profiles, and does not produce automated outputs that reach any operational team. Human design directors interpret, contest, and selectively act on the briefs through their own curatorial judgement. The system has no awareness of individual guests and retains no longitudinal individual data.","D1;D2;D4;D5","The problem is fundamentally about how Aman relates to individual guests at scale: maintaining the depth, relevance, and consistency of deeply personal service as the portfolio grows, while respecting the brand's privacy-first ethos. This is a classic personalisation challenge—differentiating the experience per client across multiple properties and touchpoints—rather than an operational or supply-chain issue. The dimensional profile reinforces the fit: the strict scenic-invisibility requirement, emotional consumption orientation, and strong symbolic orchestration control all point to a nuanced personalisation design problem where AI must enhance human-delivered, relationship-driven hospitality without ever surfacing to the guest. Personalisation directly addresses the stated difficulty of scaling high-touch service without eroding authenticity, making this an appropriate case to advance.","runs\2026-08-21T12-42-15__861afb"
"case_004","minus_loop","2","PASS","NON_BACKSTAGE","Silent Vernacular Engine","BACKSTAGE","SEGMENT","LOW","LOW","Internal design and product development teams, during the early-stage briefing and material selection phases of new property or amenity development, accessed through an internal research interface used by senior designers and procurement leads","The system ingests aggregated, anonymised behavioural residue from existing properties — occupancy patterns, amenity usage rates, service request frequencies, maintenance logs, and post-stay operational notes — alongside external inputs such as regional craft traditions, endemic material availability, and ecological constraints specific to a new site. It then identifies latent convergences between what guests have consistently sought without articulating and what the physical and cultural context of a new location can authentically provide. Outputs take the form of structured design briefs: annotated material palettes, spatial proportion references drawn from vernacular architecture, and service ritual prompts, all framed as research findings rather than algorithmic recommendations. Human designers retain full interpretive authority; the system surfaces patterns and possibilities, not decisions. No guest identity is ever referenced, and no output is ever guest-facing.","D2;D5;D1;D3","The problem is fundamentally about personalisation: how to scale deeply individualised, relationship-driven service across a growing portfolio while preserving the brand's ethos of privacy and human authenticity. The challenge is not operational (supply chain, authentication, sizing) but relational—ensuring that each guest's experience feels uniquely tailored through genuine human connection, even as the number of properties and guests grows. The dimensional profile reinforces this: the brand is emotionally led, targets inconspicuous-luxury consumers who prize privacy, and requires any AI to remain invisible backstage, feeding insights to human staff who deliver the final personalised experience. This is a textbook personalisation problem—differentiating the offering per individual client to deepen relationships, improve relevance, and sustain retention—made more complex by the strict constraint that the mechanism must never be perceptible to the guest.","runs\2026-08-21T12-42-57__5513f8"
"case_004","llm_bands","0","PASS","NON_BACKSTAGE","Silent Material Intelligence","BACKSTAGE","COHORT","LOW","LOW","Internal design and procurement teams, during the annual property development cycle and FF&E specification process, accessed through an internal research interface used by senior designers and property directors","The AI ingests anonymised, aggregated behavioural signals drawn from operational data — room configuration requests, amenity usage patterns, maintenance logs, staff observation notes transcribed post-stay — and synthesises these into material and spatial design briefs. It identifies recurring frictions and latent preferences at the cohort level (e.g., guests who consistently request blackout conditions also tend to engage with outdoor bathing features at dawn), then translates these into ranked design hypotheses: suggested material finishes, spatial proportions, light-control mechanisms, or landscaping orientations. Output is a structured research document, not a directive. Senior designers review, reject, reframe, or adopt findings as they would any other research input. The AI never touches a guest record by name, never surfaces during a stay, and has no role in service delivery. Its entire function is to make the next property or the next renovation iteration more quietly attuned to how this guest population actually inhabits space — without those guests ever knowing the process occurred.","D1;D2;D5","The problem is fundamentally about how Aman relates to individual guests at scale: maintaining the depth, relevance, and consistency of a deeply personal service experience as the portfolio grows beyond what purely informal, memory-based staff knowledge can sustain. The challenge is not operational (supply chain, authentication, inventory) but relational—how to ensure each guest feels known, anticipated, and cared for without the personalisation machinery becoming visible or violating the brand's privacy ethos. Every dimension of the profile reinforces this: the emotional consumption orientation, the inconspicuous-luxury motivation of the clientele, the strict scenic-invisibility requirement, and the strong symbolic orchestration control that keeps human staff as the final curators of the experience. Personalisation is precisely the lever that addresses the stated tension between scaling high-touch service and preserving authentic, private, human-led hospitality.","runs\2026-08-21T12-43-35__f00fe7"
